airport_type,decision_domain,annual_decision_volume,avg_delay_minutes,annual_cost_exposure_gbp_m,customer_experience_impact,regulatory_constraint_level,data_maturity_level,automation_feasibility,sustainability_dependency,cross_stakeholder_dependency
Heathrow Hub,Slot Allocation & Coordination,225,11.4,150.3,4.92,3.37,2.42,2.06,1.8,3.26
Heathrow Hub,Runway & Airfield Utilisation,954,21.5,308.9,4.31,3.14,1.7,2.15,4.68,2.64
Heathrow Hub,Terminal Capacity & Flow Design,1399,37.4,125.5,4.13,2.76,4.05,1.7,4.27,4.81
Heathrow Hub,Security & Border Processing,1269,30.8,304.4,3.14,2.61,2.97,2.49,3.17,3.1
Heathrow Hub,Gate Allocation & Stand Planning,853,19.5,431.5,2.13,2.43,1.75,3.19,2.59,2.85
Heathrow Hub,Baggage System Capacity,973,20.0,326.5,2.95,4.72,2.04,3.96,2.98,3.28
Heathrow Hub,Ground Handling Resilience,71,27.3,124.0,2.92,4.0,2.82,4.13,3.9,4.21
Heathrow Hub,Commercial Space Allocation,326,28.3,33.4,2.58,3.78,2.21,4.86,4.81,4.55
Heathrow Hub,Non-Aeronautical Revenue Strategy,484,27.5,379.0,3.36,2.12,1.79,4.2,2.91,4.05
Heathrow Hub,Sustainability & Energy Systems,545,14.1,82.8,2.95,3.34,3.82,4.19,3.33,3.38
Heathrow Hub,Data & Digital Platform Governance,493,21.4,96.8,4.57,2.8,2.21,2.49,2.85,2.7
Heathrow Hub,Airline Incentives & Charging Models,232,32.5,325.6,2.02,3.98,1.71,2.43,4.34,3.28
Large European Hub,Slot Allocation & Coordination,526,29.9,371.3,4.16,2.02,2.76,2.85,1.69,3.62
Large European Hub,Runway & Airfield Utilisation,1389,17.9,268.2,2.15,4.44,3.24,2.79,4.29,3.63
Large European Hub,Terminal Capacity & Flow Design,448,9.3,354.2,4.5,2.1,3.1,4.19,4.91,2.82
Large European Hub,Security & Border Processing,1361,22.5,443.2,3.68,3.89,4.23,4.85,3.55,2.49
Large European Hub,Gate Allocation & Stand Planning,589,23.3,82.5,1.62,2.84,3.92,1.18,1.53,3.08
Large European Hub,Baggage System Capacity,1284,26.6,449.7,3.31,2.98,1.8,3.27,2.25,2.04
Large European Hub,Ground Handling Resilience,61,37.8,446.7,2.35,2.03,3.99,4.71,3.11,4.31
Large European Hub,Commercial Space Allocation,142,16.0,92.6,4.69,4.58,2.7,3.19,3.08,4.08
Large European Hub,Non-Aeronautical Revenue Strategy,1490,15.0,335.6,2.14,4.09,3.08,1.79,3.78,3.53
Large European Hub,Sustainability & Energy Systems,1443,8.9,94.7,2.74,3.14,2.12,4.67,4.4,2.32
Large European Hub,Data & Digital Platform Governance,310,7.7,373.9,2.33,4.82,3.96,1.21,1.51,2.53
Large European Hub,Airline Incentives & Charging Models,1231,21.9,116.6,1.52,4.22,2.85,4.5,2.85,2.01
Regional Airport,Slot Allocation & Coordination,1090,39.0,430.4,2.99,3.78,1.62,4.95,4.37,3.91
Regional Airport,Runway & Airfield Utilisation,864,9.8,366.6,1.82,2.39,3.54,2.8,2.86,3.99
Regional Airport,Terminal Capacity & Flow Design,1213,6.9,311.4,4.36,3.89,2.23,4.14,2.01,4.48
Regional Airport,Security & Border Processing,944,20.8,148.6,1.63,3.71,4.46,2.49,3.88,2.37
Regional Airport,Gate Allocation & Stand Planning,1342,6.7,294.4,2.59,4.26,3.13,2.83,4.63,2.17
Regional Airport,Baggage System Capacity,1252,15.1,25.5,4.14,3.69,4.18,3.39,2.68,4.96
Regional Airport,Ground Handling Resilience,987,30.1,173.2,2.77,4.63,2.48,4.56,3.75,2.99
Regional Airport,Commercial Space Allocation,109,25.8,196.1,3.71,4.71,3.3,1.89,2.21,4.79
Regional Airport,Non-Aeronautical Revenue Strategy,1341,18.3,419.7,2.53,4.02,3.65,3.76,2.43,4.65
Regional Airport,Sustainability & Energy Systems,876,6.9,75.7,2.06,2.16,1.64,4.79,1.82,3.53
Regional Airport,Data & Digital Platform Governance,1442,10.9,345.8,4.78,3.41,1.52,5.0,1.67,3.17
Regional Airport,Airline Incentives & Charging Models,1193,36.0,372.2,3.63,3.2,4.0,4.48,4.55,4.15
Leisure-Focused Airport,Slot Allocation & Coordination,456,14.0,223.8,3.27,4.5,2.21,3.66,2.81,4.33
Leisure-Focused Airport,Runway & Airfield Utilisation,1130,28.2,195.7,2.8,3.59,3.55,1.45,3.76,2.56
Leisure-Focused Airport,Terminal Capacity & Flow Design,1261,32.3,32.9,4.39,2.03,3.52,1.66,2.7,4.86
Leisure-Focused Airport,Security & Border Processing,1095,4.5,337.2,3.85,2.76,4.23,4.0,4.45,4.62
Leisure-Focused Airport,Gate Allocation & Stand Planning,979,30.4,22.4,3.29,4.38,3.7,1.43,4.42,2.71
Leisure-Focused Airport,Baggage System Capacity,954,24.0,157.8,4.3,2.01,4.07,2.79,3.23,2.84
Leisure-Focused Airport,Ground Handling Resilience,876,17.8,166.9,3.11,2.82,1.51,2.89,2.47,3.35
Leisure-Focused Airport,Commercial Space Allocation,678,17.7,12.2,3.17,2.8,4.5,1.25,3.54,4.89
Leisure-Focused Airport,Non-Aeronautical Revenue Strategy,493,34.1,168.7,4.96,3.88,3.0,3.86,2.98,4.14
Leisure-Focused Airport,Sustainability & Energy Systems,816,23.0,157.0,4.19,2.0,3.08,1.09,2.54,2.09
Leisure-Focused Airport,Data & Digital Platform Governance,150,16.9,441.7,1.89,4.67,4.07,1.9,2.72,3.71
Leisure-Focused Airport,Airline Incentives & Charging Models,984,27.4,402.7,4.32,4.22,4.19,4.52,4.99,2.51
Emerging Market Gateway,Slot Allocation & Coordination,286,37.1,412.7,4.8,4.77,4.38,1.19,4.71,2.81
Emerging Market Gateway,Runway & Airfield Utilisation,1136,20.0,430.3,3.62,3.06,2.62,4.62,4.38,2.41
Emerging Market Gateway,Terminal Capacity & Flow Design,1430,5.6,374.3,3.25,3.86,2.26,3.74,1.63,2.73
Emerging Market Gateway,Security & Border Processing,345,18.3,294.3,2.85,2.75,2.53,1.82,4.52,4.09
Emerging Market Gateway,Gate Allocation & Stand Planning,1103,12.9,412.2,2.08,2.94,1.91,4.42,4.54,2.56
Emerging Market Gateway,Baggage System Capacity,1450,15.0,141.6,3.68,3.84,2.68,1.59,2.84,2.95
Emerging Market Gateway,Ground Handling Resilience,1029,28.8,44.9,2.07,2.06,1.79,1.4,4.86,4.68
Emerging Market Gateway,Commercial Space Allocation,1355,37.6,61.8,4.29,2.49,1.68,4.25,4.48,3.9
Emerging Market Gateway,Non-Aeronautical Revenue Strategy,308,22.1,371.1,1.9,3.81,4.47,1.6,3.23,3.89
Emerging Market Gateway,Sustainability & Energy Systems,1046,36.8,441.0,1.74,2.22,3.17,2.0,4.76,3.8
Emerging Market Gateway,Data & Digital Platform Governance,493,21.1,219.7,1.64,2.95,2.57,4.82,4.71,3.75
Emerging Market Gateway,Airline Incentives & Charging Models,72,35.0,175.3,1.91,3.82,2.47,1.04,4.93,4.91
